"","Gloss","GlossID","WordID","Word","POS","Analysis","Lemma","Language","Glossing","GlossingID","Manuscript"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0",".i.","","",".i.","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1","sidera","NOUN","nom.pl.neut.","sidus","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2","uel","CCONJ","","uel","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3","spatia","NOUN","nom.pl.neut.","spatium","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BVi.01a06: sideera uel spatia    'stars or spaces'","BVi.01a06","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0","sideera","NOUN","nom.pl.neut.","sidus","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BVi"
"","BVi.01a06: sideera uel spatia    'stars or spaces'","BVi.01a06","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1","uel","CCONJ","","uel","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BVi"
"","BVi.01a06: sideera uel spatia    'stars or spaces'","BVi.01a06","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2","spatia","NOUN","nom.pl.neut.","spatium","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BVi"
"","BVi.01a07: eo quorum qui    'the fact of which'","BVi.01a07","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0","eo","PRON","abl.sg.neut.","is","la","gl. ideoque","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d","BVi"
"","BVi.01a07: eo quorum qui    'the fact of which'","BVi.01a07","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1","quorum","PRON","gen.pl.masc.","qui","la","gl. ideoque","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d","BVi"
"","BVi.01a07: eo quorum qui    'the fact of which'","BVi.01a07","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2","qui","PRON","nom.pl.masc.","qui","la","gl. ideoque","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d","BVi"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0","fit","VERB","3sg.pres.ind.pass.","facio","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1","lumen","NOUN","nom.sg.neut.","lumen","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2","in","ADP","","in","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3","eis","PRON","abl.pl.neut.","is","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4","in","ADP","","in","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5","hoc","DET","abl.sg.neut.","hic","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6","tempore","NOUN","abl.sg.neut.","tempus","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.0","biit","VERB","3pl.fut.","is 1","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.1","soilsi","NOUN","nom.pl.","soilse","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.2","impo","ADP","3pl.","imm","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.3a","i","ADP","dat.","i","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.3b","ssind","DET","dat.sg.masc.","in 1","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.4","air","NOUN","dat.sg.","aër","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.5","in","DET","nom.sg.neut.","in 1","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","BVi.01a09a.02: biit soil si impo issind air in sin·    'those will be alight around them in the air'","BVi.01a09a.02","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09a.02.6","sin","PRON","nom.sg.neut.","sin","sga","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","BVi"
"","Ang.50a02a: ortimuil    'of the darkness'","Ang.50a02a","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02a.0a","o","ADP","","o","obt","gl. nocteShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_26b","Ang"
"","Ang.50a02a: ortimuil    'of the darkness'","Ang.50a02a","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02a.0b","r","DET","sg.","ir","obt","gl. nocteShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_26b","Ang"
"","Ang.50a02a: ortimuil    'of the darkness'","Ang.50a02a","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02a.1","timuil","NOUN","sg.","timuil","obt","gl. nocteShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_26b","Ang"
"","BVi.01a09b.01: dorchai    'dark'","BVi.01a09b.01","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a09b.01.0","dorchai","ADJ","dat.sg.fem.","dorchae","sga","gl. nocteShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_26b","BVi"
"","Ang.50a03: cenitguelhumni    'although we do not see it'","Ang.50a03","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a03.0","ce","CCONJ","","ce (Bret.)","obt","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","Ang"
"","Ang.50a03: cenitguelhumni    'although we do not see it'","Ang.50a03","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a03.1","ni","PART","","ni (Bret.)","obt","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","Ang"
"","Ang.50a03: cenitguelhumni    'although we do not see it'","Ang.50a03","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a03.2","t","PRON","","3sg.neut.inf.pron. (Bret.)","obt","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","Ang"
"","Ang.50a03: cenitguelhumni    'although we do not see it'","Ang.50a03","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a03.3","guelhum","VERB","1pl.pres.subj.","guil/guel","obt","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","Ang"
"","Ang.50a03: cenitguelhumni    'although we do not see it'","Ang.50a03","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a03.4","ni","PART","","nota augens (Bret.)","obt","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","Ang"
"","BVi.01a11.03: cenidaciamni    'although we do not see (it)'","BVi.01a11.03","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a11.03.0","ce","CCONJ","","cía 2","sga","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","BVi"
"","BVi.01a11.03: cenidaciamni    'although we do not see (it)'","BVi.01a11.03","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a11.03.1","ni","PART","","ní 3","sga","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","BVi"
"","BVi.01a11.03: cenidaciamni    'although we do not see (it)'","BVi.01a11.03","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a11.03.2","d","PRON","C","3sg.neut.inf.pron.","sga","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","BVi"
"","BVi.01a11.03: cenidaciamni    'although we do not see (it)'","BVi.01a11.03","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a11.03.3","aciam","VERB","1pl.pres.ind.","ad·cí","sga","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","BVi"
"","BVi.01a11.03: cenidaciamni    'although we do not see (it)'","BVi.01a11.03","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a11.03.4","ni","PART","1pl.","nota augens","sga","gl. non dubitas tametsiShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_27a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0","uel","CCONJ","","uel","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1","absida","NOUN","nom.sg.fem.","absida","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2","sedes","NOUN","nom.sg.fem.","sedes","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3","episcopalis","ADJ","nom.sg.fem.pos.","episcopalis","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4","et","CCONJ","","et","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.5","???","","","","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.6","graecus","NOUN","nom.sg.masc.","graecus","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7","et","CCONJ","","et","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.8","interpretatur","VERB","3sg.pres.ind.pass.","interpretor","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.9","splendida","ADJ","nom.sg.fem.pos.","splendidus","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BCr.27a53: apparent    'they appear'","BCr.27a53","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.0","apparent","VERB","3pl.pres.ind.act.","appareo","la","gl. parentShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32b","BCr"
"","BVi.01a16.04: ardr igiter    'by which they appear'","BVi.01a16.04","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a16.04.0","ardrigiter","VERB","3pl.pres.ind.rel.","ardraigidir","sga","gl. parentShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32b","BVi"
"","Ang.50a07c: amestidiou    'circular courses'","Ang.50a07c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a07c.0","amestidiou","NOUN","pl.","*amestid-","obt","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","Ang"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.0","idest","","",".i.","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.01","absida","NOUN","nom.sg.fem.","absida","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.02","graece","ADV","","graece","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.03","interpretatur","VERB","3sg.pres.ind.pass.","interpretor","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
