"","Gloss","GlossID","WordID","Word","POS","Analysis","Lemma","Language","Glossing","GlossingID","Manuscript"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0",".i.","","",".i.","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1","sidera","NOUN","nom.pl.neut.","sidus","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2","uel","CCONJ","","uel","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces'","BCr.27a40","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3","spatia","NOUN","nom.pl.neut.","spatium","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BCr"
"","BVi.01a06: sideera uel spatia    'stars or spaces'","BVi.01a06","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0","sideera","NOUN","nom.pl.neut.","sidus","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BVi"
"","BVi.01a06: sideera uel spatia    'stars or spaces'","BVi.01a06","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1","uel","CCONJ","","uel","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BVi"
"","BVi.01a06: sideera uel spatia    'stars or spaces'","BVi.01a06","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2","spatia","NOUN","nom.pl.neut.","spatium","la","gl. ea libere quae tellureShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b","BVi"
"","BVi.01a07: eo quorum qui    'the fact of which'","BVi.01a07","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0","eo","PRON","abl.sg.neut.","is","la","gl. ideoque","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d","BVi"
"","BVi.01a07: eo quorum qui    'the fact of which'","BVi.01a07","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1","quorum","PRON","gen.pl.masc.","qui","la","gl. ideoque","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d","BVi"
"","BVi.01a07: eo quorum qui    'the fact of which'","BVi.01a07","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2","qui","PRON","nom.pl.masc.","qui","la","gl. ideoque","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d","BVi"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0","fit","VERB","3sg.pres.ind.pass.","facio","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1","lumen","NOUN","nom.sg.neut.","lumen","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2","in","ADP","","in","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3","eis","PRON","abl.pl.neut.","is","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4","in","ADP","","in","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5","hoc","DET","abl.sg.neut.","hic","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time'","Ang.50a02c","http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6","tempore","NOUN","abl.sg.neut.","tempus","la","gl. circumpositaShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a","Ang"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0","uel","CCONJ","","uel","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1","absida","NOUN","nom.sg.fem.","absida","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2","sedes","NOUN","nom.sg.fem.","sedes","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3","episcopalis","ADJ","nom.sg.fem.pos.","episcopalis","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4","et","CCONJ","","et","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.5","???","","","","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.6","graecus","NOUN","nom.sg.masc.","graecus","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7","et","CCONJ","","et","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.8","interpretatur","VERB","3sg.pres.ind.pass.","interpretor","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","BVi.01a19a","http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.9","splendida","ADJ","nom.sg.fem.pos.","splendidus","la","gl. ???","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a","BVi"
"","BCr.27a53: apparent    'they appear'","BCr.27a53","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.0","apparent","VERB","3pl.pres.ind.act.","appareo","la","gl. parentShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32b","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.0","idest","","",".i.","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.01","absida","NOUN","nom.sg.fem.","absida","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.02","graece","ADV","","graece","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.03","interpretatur","VERB","3sg.pres.ind.pass.","interpretor","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.04","lucida","ADJ","nom.sg.fem.pos.","lucidus","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.05","eo","PRON","abl.sg.neut.","is","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.06","quorum","PRON","gen.pl.neut.","qui","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.07","lumine","NOUN","abl.sg.neut.","lumen","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.08","accepto","VERB","abl.sg.neut.participle.","accipio","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.09","per","ADP","","per","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.10","arcam","NOUN","acc.sg.fem.","arca","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.11","resplendeat","VERB","3sg.pres.subjunctive.act.","resplendeo","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.12","sed","CCONJ","","sed","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.13","utrum","ADV","","utrum","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.14","absidam","NOUN","acc.sg.fem.","absida","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.15","an","CCONJ","","an","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.16","absidam","NOUN","acc.sg.fem.","absida","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.17","dicere","VERB","pres.infinitive.act.","dico","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.18","debemus","VERB","1pl.pres.ind.act.","debeo","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
"","BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'","BCr.27b03","http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.19","hic","DET","nom.sg.neut.","hic","la","gl. circuli absidasShow Parallels","http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a","BCr"
