sample_id,word_id,word,lemma,pos
phi0690.phi003.perseus-lat1.tb.xml@41,1,Te,tu,PRON
phi0690.phi003.perseus-lat1.tb.xml@41,2,quoque,quoque,PART
phi0690.phi003.perseus-lat1.tb.xml@41,3,magna,magnus,ADJ
phi0690.phi003.perseus-lat1.tb.xml@41,4,manent,maneo,VERB
phi0690.phi003.perseus-lat1.tb.xml@41,5,regnis,regnum,NOUN
phi0690.phi003.perseus-lat1.tb.xml@41,6,penetralia,penetralis,ADJ
phi0690.phi003.perseus-lat1.tb.xml@41,7,nostris,noster,DET
phi0690.phi003.perseus-lat1.tb.xml@41,8,:,:,PUNCT
phi0690.phi003.perseus-lat1.tb.xml@43,1,Foliis,folium,NOUN
phi0690.phi003.perseus-lat1.tb.xml@43,2,tantum,tantus,ADV
phi0690.phi003.perseus-lat1.tb.xml@43,3,ne,ne,ADV
phi0690.phi003.perseus-lat1.tb.xml@43,4,carmina,carmen,NOUN
phi0690.phi003.perseus-lat1.tb.xml@43,5,manda,mando,VERB
phi0690.phi003.perseus-lat1.tb.xml@43,6,",",",",PUNCT
phi0690.phi003.perseus-lat1.tb.xml@43,7,ne,ne,SCONJ
phi0690.phi003.perseus-lat1.tb.xml@43,8,turbata,turbo,VERB
phi0690.phi003.perseus-lat1.tb.xml@43,9,volent,volo,VERB
phi0690.phi003.perseus-lat1.tb.xml@43,10,rapidis,rapidus,ADJ
phi0690.phi003.perseus-lat1.tb.xml@43,11,ludibria,ludibrium,NOUN
phi0690.phi003.perseus-lat1.tb.xml@43,12,ventis,ventus,NOUN
phi0690.phi003.perseus-lat1.tb.xml@43,13,;,;,PUNCT
phi0690.phi003.perseus-lat1.tb.xml@44,1,ipsa,ipse,DET
phi0690.phi003.perseus-lat1.tb.xml@44,2,canas,cano,VERB
phi0690.phi003.perseus-lat1.tb.xml@44,3,oro,oro,VERB
phi0690.phi003.perseus-lat1.tb.xml@44,4,.,.,PUNCT
phi0690.phi003.perseus-lat1.tb.xml@44,5,',',PUNCT
phi0690.phi003.perseus-lat1.tb.xml@45,1,Finem,finis,NOUN
phi0690.phi003.perseus-lat1.tb.xml@45,2,dedit,do,VERB
phi0690.phi003.perseus-lat1.tb.xml@45,3,ore,os,NOUN
phi0690.phi003.perseus-lat1.tb.xml@45,4,loquendi,loquor,VERB
phi0690.phi003.perseus-lat1.tb.xml@45,5,.,.,PUNCT
phi0690.phi003.perseus-lat1.tb.xml@46,1,At,at,CCONJ
phi0690.phi003.perseus-lat1.tb.xml@46,2,",",",",PUNCT
phi0690.phi003.perseus-lat1.tb.xml@46,3,Phoebi,Phoebus,PROPN
phi0690.phi003.perseus-lat1.tb.xml@46,4,nondum,nondum,ADV
phi0690.phi003.perseus-lat1.tb.xml@46,5,patiens,patior,VERB
phi0690.phi003.perseus-lat1.tb.xml@46,6,",",",",PUNCT
phi0690.phi003.perseus-lat1.tb.xml@46,7,immanis,immanis,ADJ
phi0690.phi003.perseus-lat1.tb.xml@46,8,in,in,ADP
phi0690.phi003.perseus-lat1.tb.xml@46,9,antro,antrum,NOUN
phi0690.phi003.perseus-lat1.tb.xml@46,10,bacchatur,bacchor,VERB
phi0690.phi003.perseus-lat1.tb.xml@46,11,vates,vates,NOUN
phi0690.phi003.perseus-lat1.tb.xml@46,12,",",",",PUNCT
phi0690.phi003.perseus-lat1.tb.xml@46,13,magnum,magnus,ADJ
phi0690.phi003.perseus-lat1.tb.xml@46,14,si,si,SCONJ
phi0690.phi003.perseus-lat1.tb.xml@46,15,pectore,pectus,NOUN
phi0690.phi003.perseus-lat1.tb.xml@46,16,possit,possum,VERB
phi0690.phi003.perseus-lat1.tb.xml@46,17,excussisse,excutio,VERB
phi0690.phi003.perseus-lat1.tb.xml@46,18,deum,deus,NOUN
phi0690.phi003.perseus-lat1.tb.xml@46,19,.,.,PUNCT
phi0690.phi003.perseus-lat1.tb.xml@50,1,Sed,sed,CCONJ
phi0690.phi003.perseus-lat1.tb.xml@50,2,terrae,terra,NOUN
phi0690.phi003.perseus-lat1.tb.xml@50,3,graviora,gravis,ADJ
phi0690.phi003.perseus-lat1.tb.xml@50,4,manent,maneo,VERB
phi0690.phi003.perseus-lat1.tb.xml@50,5,.,.,PUNCT
phi0690.phi003.perseus-lat1.tb.xml@51,1,In,in,ADP
phi0690.phi003.perseus-lat1.tb.xml@51,2,regna,regnum,NOUN
phi0690.phi003.perseus-lat1.tb.xml@51,3,Lavini,Lavinium,PROPN
phi0690.phi003.perseus-lat1.tb.xml@51,4,Dardanidae,Dardanides,PROPN
phi0690.phi003.perseus-lat1.tb.xml@51,5,venient,venio,VERB
phi0690.phi003.perseus-lat1.tb.xml@51,6,;,;,PUNCT
phi0690.phi003.perseus-lat1.tb.xml@52,1,mitte,mitto,VERB
