sample_id,word_id,word,lemma,pos
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0,idest,idest,NA
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,sidus,NOUN
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,uel,CCONJ
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,spatium,NOUN
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,sidus,NOUN
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,uel,CCONJ
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,spatium,NOUN
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,is,PRON
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,qui,PRON
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,qui,PRON
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,facio,VERB
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,lumen,NOUN
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,in,ADP
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,is,PRON
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,in,ADP
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,hoc,hic,DET
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,tempore,tempus,NOUN
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,uel,uel,CCONJ
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,absida,absida,NOUN
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,sedes,sedes,NOUN
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3,episcopalis,episcopalis,ADJ
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4,et,et,CCONJ
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.5,?,,NA
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.6,graecus,graecus,NOUN
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7,et,et,CCONJ
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.8,interpretatur,interpretor,VERB
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.9,splendida,splendidus,ADJ
BCr.27a53,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.0,apparent,appareo,VERB
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.0,idest,idest,NA
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.01,absida,absida,NOUN
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.02,graece,graece,ADV
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.03,interpretatur,interpretor,VERB
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.04,lucida,lucidus,ADJ
