sample_id,word_id,word,lemma_gold,pos_gold,lemma_pred,pos_pred
dev-s8,2,+,+,PUNCT,+,NUM
dev-s51,57,aut,aut,CCONJ,aut,CCONJ
dev-s51,58,retolli,retollo,VERB,retolo,VERB
dev-s51,59,vel,uel,CCONJ,vel,CCONJ
dev-s51,60,subtragi,subtraho,VERB,subtraho,VERB
dev-s51,61,quesierimus,quaero,VERB,quesio,VERB
dev-s51,62,per,per,ADP,per,ADP
dev-s51,63,quolibet,quilibet,DET,quilibet,DET
dev-s51,64,ingenio,ingenium,NOUN,ingenium,NOUN
dev-s51,65,et,et,CCONJ,et,CCONJ
dev-s51,66,eam,is,PRON,is,PRON
dev-s51,67,vobis,uos,PRON,vobus,DET
dev-s51,68,ab,ab,ADP,ab,ADP
dev-s51,69,omni,omnis,DET,omnis,DET
dev-s51,70,homines,homo,NOUN,homo,NOUN
dev-s51,71,defendere,defendo,VERB,defendo,VERB
dev-s51,72,non,non,PART,non,PART
dev-s51,73,potuerimus,possum,VERB,possum,VERB
dev-s51,74,",",",",PUNCT,",",PUNCT
dev-s51,75,spondimus,spondeo,VERB,spondeo,VERB
dev-s51,76,nos,nos,PRON,nos,PRON
dev-s51,77,vobis,uos,PRON,vobus,DET
dev-s51,78,conponere,compono,VERB,conpono,VERB
dev-s51,79,suprascripte,suprascriptus,DET,suprascripte,ADV
dev-s51,80,petie,petia,NOUN,peto,VERB
dev-s51,81,de,de,ADP,de,ADP
dev-s51,82,terre,terra,NOUN,terra,NOUN
dev-s51,83,quas,qui,PRON,qui,PRON
dev-s51,84,tibi,tu,PRON,tu,PRON
dev-s51,85,supra,supra,ADV,supra,ADP
dev-s51,86,in,in,ADP,in,ADP
dev-s51,87,commutationem,commutatio,NOUN,commutatio,NOUN
dev-s51,88,dedimus,do,VERB,dedo,VERB
dev-s51,89,in,in,ADP,in,ADP
dev-s51,90,duplum,duplus,ADJ,duplus,NOUN
dev-s51,91,",",",",PUNCT,",",PUNCT
dev-s51,92,in,in,ADP,in,ADP
dev-s51,93,ferquidem,ferquidis,ADJ,ferquis,DET
dev-s51,94,loco,locus,NOUN,locus,NOUN
dev-s51,95,",",",",PUNCT,",",PUNCT
dev-s51,96,sub,sub,ADP,sub,ADP
dev-s51,97,estimatione,aestimatio,NOUN,estimatio,NOUN
dev-s51,98,quales,qualis,DET,qualis,DET
dev-s51,99,tunc,tunc,ADV,tunc,ADV
dev-s51,100,fuerit,sum,AUX,sum,AUX
dev-s51,101,",",",",PUNCT,",",PUNCT
dev-s51,102,quia,quia,SCONJ,quia,SCONJ
dev-s51,103,taliter,taliter,ADV,taliter,ADV
dev-s51,104,inter,inter,ADP,inter,ADP
dev-s51,105,nos,nos,PRON,nos,PRON
dev-s51,106,conveni,conuenio,VERB,convo,VERB
dev-s51,107,.,.,PUNCT,.,PUNCT
dev-s76,2,+,+,PUNCT,+,NUM
dev-s109,2,+,+,PUNCT,+,NUM
dev-s122,2,+,+,PUNCT,+,NUM
dev-s248,2,+,+,PUNCT,+,NUM
dev-s248,3,+,+,PUNCT,+,NUM
dev-s248,4,+,+,PUNCT,+,NUM
dev-s248,5,+,+,PUNCT,+,NUM
dev-s372,2,+,+,PUNCT,+,NUM
dev-s436,4,in,in,ADP,in,ADP
dev-s436,5,aliquid,aliquis,PRON,aliquis,PRON
dev-s436,6,ibi,ubi,ADV,ibi,ADV
dev-s436,7,fui,sum,AUX,sum,AUX
dev-s436,8,.,.,PUNCT,.,PUNCT
dev-s479,4,autenticho,authenticum,NOUN,autentico,VERB
dev-s479,5,illo,ille,DET,ille,DET
dev-s479,6,vidi,uideo,VERB,video,VERB
dev-s479,7,et,et,CCONJ,et,CCONJ
dev-s479,8,legi,lego,VERB,lego,VERB
dev-s479,9,unde,unde,ADV,unde,ADV
dev-s479,10,hanc,hic,DET,hic,DET
dev-s479,11,exemplar,exemplar,NOUN,exemplar,NOUN
dev-s479,12,factum,facio,VERB,facio,VERB
dev-s479,13,est,sum,AUX,sum,AUX
dev-s479,14,et,et,CCONJ,et,CCONJ
dev-s479,15,ibi,ubi,ADV,ibi,ADV
dev-s479,16,subscripsi,subscribo,VERB,subscirio,VERB
dev-s479,17,.,.,PUNCT,.,PUNCT
dev-s484,6,autenticho,authenticum,NOUN,autentico,VERB
dev-s484,7,illo,ille,DET,ille,DET
dev-s484,8,vidi,uideo,VERB,video,VERB
dev-s484,9,et,et,CCONJ,et,CCONJ
dev-s484,10,legi,lego,VERB,lego,VERB
dev-s484,11,unde,unde,ADV,unde,ADV
dev-s484,12,hanc,hic,DET,hic,DET
dev-s484,13,exemplar,exemplar,NOUN,exemplar,NOUN
dev-s484,14,factum,facio,VERB,facio,VERB
dev-s484,15,est,sum,AUX,sum,AUX
dev-s484,16,et,et,CCONJ,et,CCONJ
dev-s484,17,ibi,ubi,ADV,ibi,ADV
dev-s484,18,subscripsi,subscribo,VERB,subscirio,VERB
dev-s484,19,.,.,PUNCT,.,PUNCT
dev-s485,4,autenticho,authenticum,NOUN,autentico,VERB
dev-s485,5,illo,ille,DET,ille,DET
dev-s485,6,vidi,uideo,VERB,video,VERB
dev-s485,7,et,et,CCONJ,et,CCONJ
dev-s485,8,legi,lego,VERB,lego,VERB
dev-s485,9,unde,unde,ADV,unde,ADV
dev-s485,10,hanc,hic,DET,hic,DET
dev-s485,11,exemplar,exemplar,NOUN,exemplar,NOUN
dev-s485,12,factum,facio,VERB,facio,VERB
dev-s485,13,est,sum,AUX,sum,AUX
dev-s485,14,et,et,CCONJ,et,CCONJ
dev-s485,15,ibi,ubi,ADV,ibi,ADV
dev-s485,16,subscripsi,subscribo,VERB,subscirio,VERB
dev-s485,17,.,.,PUNCT,.,PUNCT
dev-s537,4,rogatus,rogo,VERB,rogo,VERB
dev-s537,5,a,ab,ADP,ab,ADP
dev-s537,6,Sichalmi,Sichelmus,PROPN,sichalmus,NOUN
dev-s537,7,me,ego,PRON,ego,PRON
dev-s537,8,teste,testis,NOUN,testis,NOUN
dev-s537,9,subscripsi,subscribo,VERB,subscirio,VERB
dev-s537,10,.,.,PUNCT,.,PUNCT
dev-s568,1,ne,ne,PART,ne,SCONJ
dev-s568,2,c,que,CCONJ,c,NUM
dev-s568,3,non,non,PART,non,PART
dev-s568,4,et,et,CCONJ,et,CCONJ
dev-s568,5,dedisti,do,VERB,do,VERB
