sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0,idest,idest,CCONJ,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0,idest,idest,CCONJ,True
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,sidus,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,sidus,NOUN,True
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,uel,CCONJ,2,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,uel,CCONJ,True
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,spatium,NOUN,3,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,spatium,NOUN,True
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,sidus,NOUN,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,sideo,VERB,True
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,uel,CCONJ,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,uel,CCONJ,True
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,spatium,NOUN,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,spatium,NOUN,True
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,is,PRON,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,is,PRON,True
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,qui,PRON,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,qui,PRON,True
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,qui,PRON,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,qui,PRON,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,facio,VERB,0,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,fio,VERB,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,lumen,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,lumen,NOUN,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,in,ADP,2,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,in,ADP,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,is,PRON,3,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,is,PRON,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,in,ADP,4,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,in,ADP,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,hoc,hic,DET,5,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,hoc,hic,DET,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,tempore,tempus,NOUN,6,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,tempore,tempus,NOUN,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,uel,uel,CCONJ,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,uel,uel,CCONJ,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,absida,absida,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,absida,absida,NOUN,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,sedes,sedes,NOUN,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,sedes,sedes,NOUN,True
