Unnamed: 0,sample,sample_id,word_id_gold,word,pos_gold,analysis,lemma_gold,language,glossing,glossing_id,manuscript,word_id_pred,lemma_pred,pos_pred
,BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces',BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,NOUN,nom.pl.neut.,sidus,la,gl. ea libere quae tellureShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b,BCr,BCr.27a40_1,sidus,NOUN
,BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces',BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,CCONJ,,uel,la,gl. ea libere quae tellureShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b,BCr,BCr.27a40_2,uel,CCONJ
,BCr.27a40: .i. sidera uel spatia    'i.e. stars or spaces',BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,NOUN,nom.pl.neut.,spatium,la,gl. ea libere quae tellureShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b,BCr,BCr.27a40_3,spatium,NOUN
,BVi.01a06: sideera uel spatia    'stars or spaces',BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,NOUN,nom.pl.neut.,sidus,la,gl. ea libere quae tellureShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b,BVi,BVi.01a06_1,sideo,VERB
,BVi.01a06: sideera uel spatia    'stars or spaces',BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,CCONJ,,uel,la,gl. ea libere quae tellureShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b,BVi,BVi.01a06_2,uel,CCONJ
,BVi.01a06: sideera uel spatia    'stars or spaces',BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,NOUN,nom.pl.neut.,spatium,la,gl. ea libere quae tellureShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23b,BVi,BVi.01a06_3,spatium,NOUN
,BVi.01a07: eo quorum qui    'the fact of which',BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,PRON,abl.sg.neut.,is,la,gl. ideoque,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d,BVi,BVi.01a07_1,is,PRON
,BVi.01a07: eo quorum qui    'the fact of which',BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,PRON,gen.pl.masc.,qui,la,gl. ideoque,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d,BVi,BVi.01a07_2,qui,PRON
,BVi.01a07: eo quorum qui    'the fact of which',BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,PRON,nom.pl.masc.,qui,la,gl. ideoque,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_296_23d,BVi,BVi.01a07_3,qui,PRON
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,VERB,3sg.pres.ind.pass.,facio,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_1,fio,VERB
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,NOUN,nom.sg.neut.,lumen,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_2,lumen,NOUN
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,ADP,,in,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_3,in,ADP
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,ADP,,in,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_5,in,ADP
