SampleID,WordID,Word,Lemma_gold,POS_gold,Lemma_pred,POS_pred
ch_1,ch_1_1,in,in,ADP,in,ADP
ch_1,ch_1_2,dei,deus,PROPN,deus,NOUN
ch_1,ch_1_3,omnipotentis,omnipotens,ADJ,omnipotens,ADJ
ch_1,ch_1_4,nomine,nomen,NOUN,nomen,NOUN
ch_1,ch_1_5,regnante,regno,VERB,regno,VERB
ch_1,ch_1_6,domno,domnus,NOUN,domnum,NOUN
ch_1,ch_1_7,nostro,noster,DET,noster,DET
ch_1,ch_1_8,Karolus,Carolus,PROPN,Karolus,NOUN
ch_1,ch_1_9,divina,diuinus,ADJ,divinus,ADJ
ch_1,ch_1_10,faventem,faueo,VERB,favio,VERB
ch_1,ch_1_11,clementia,clementia,NOUN,clementia,NOUN
ch_1,ch_1_12,rex,rex,NOUN,rex,NOUN
ch_2,ch_2_1,ille,ille,DET,ille,DET
ch_2,ch_2_2,secunda,secundus,ADJ,secundus,ADJ
ch_2,ch_2_3,petia,petia,NOUN,petium,NOUN
ch_2,ch_2_4,de,de,ADP,de,ADP
ch_2,ch_2_5,terra,terra,NOUN,terra,NOUN
ch_2,ch_2_6,capo,caput,NOUN,capus,X
ch_2,ch_2_7,uno,unus,DET,unus,DET
ch_2,ch_2_8,tenet,teneo,VERB,teneo,VERB
ch_2,ch_2_10,suprascripta,suprascriptus,DET,suprascripo,VERB
ch_2,ch_2_11,terra,terra,NOUN,terra,NOUN
ch_2,ch_2_12,quas,qui,PRON,qui,PRON
ch_2,ch_2_13,tibi,tu,PRON,tu,PRON
ch_2,ch_2_14,supra,supra,ADV,supra,ADV
ch_2,ch_2_15,dedi,do,VERB,do,VERB
ch_2,ch_2_16,alio,alius,DET,alius,DET
ch_2,ch_2_17,capo,caput,NOUN,capus,X
ch_2,ch_2_18,tenet,teneo,VERB,teneo,VERB
ch_2,ch_2_20,terra,terra,NOUN,terra,NOUN
ch_2,ch_2_21,qui,qui,PRON,qui,PRON
ch_2,ch_2_22,fuit,sum,AUX,sum,AUX
ch_2,ch_2_23,quondam,quondam,ADJ,quonda,NOUN
ch_2,ch_2_24,Altiperti,Altipertus,PROPN,altipertum,NOUN
