sample_id,word_id,word,lemma_gold,pos_gold,lemma_pred,pos_pred
dev-s1,1,+,+,PUNCT,+,NOUN
dev-s1,2,In,in,ADP,in,PREP
dev-s1,3,Dei,Deus,PROPN,Deus,NOUN
dev-s1,4,omnipotentis,omnipotens,ADJ,omnipotens,ADJ
dev-s1,5,nomine,nomen,NOUN,nomen,NOUN
dev-s1,6,regnante,regno,VERB,regno,VERB
dev-s1,7,domno,domnus,NOUN,domnus,NOUN
dev-s1,8,nostro,noster,DET,noster,POSS
dev-s1,9,Karolus,Carolus,PROPN,Karolus,NOUN
dev-s1,10,divina,diuinus,ADJ,divinus,ADJ
dev-s1,11,faventem,faueo,VERB,faveo,VERB
dev-s1,12,clementia,clementia,NOUN,clementia,NOUN
dev-s1,13,rex,rex,NOUN,rex,NOUN
dev-s1,14,",",",",PUNCT,",",PUNCT
dev-s1,15,anno,annus,NOUN,annus,NOUN
dev-s1,16,regni,regnum,NOUN,regnum,NOUN
dev-s1,17,eius,is,PRON,is,DET
dev-s1,18,in,in,ADP,in,PREP
dev-s1,19,Italia,Italia,PROPN,Italia,NOUN
dev-s1,20,primo,primus,ADJ,primo,ADV
dev-s1,21,",",",",PUNCT,",",PUNCT
dev-s1,22,octavo,octauus,ADJ,octo,NUM
dev-s1,23,kalendas,kalendae,NOUN,Kalenda,NOUN
dev-s1,24,decembris,december,ADJ,December,NOUN
dev-s1,25,",",",",PUNCT,",",PUNCT
dev-s1,26,indictione,indictio,NOUN,indictio,NOUN
dev-s1,27,quarta,quartus,ADJ,quattuor -a,NUM
dev-s1,28,decima,decimus,ADJ,decem,NUM
dev-s1,29,.,.,PUNCT,.,PUNCT
dev-s2,1,manifesti,manifestus,ADJ,manifesti,ADJ
dev-s2,2,sumus,sum,AUX,sum,ESSE:IND
dev-s2,3,nos,nos,PRON,nos,PRON
dev-s2,4,Leoprando,Leoprandus,PROPN,Leoprando,NOUN
dev-s2,5,que,qui,PRON,que,CCONJ
dev-s2,6,Cillo,Cillus,PROPN,cillo,NOUN
dev-s2,7,vocatur,uoco,VERB,voco,VERB
dev-s2,8,",",",",PUNCT,",",PUNCT
dev-s2,9,filio,filius,NOUN,filius,NOUN
dev-s2,10,quondam,quondam,ADJ,quondam,ADV
dev-s2,11,Cristiani,Christianus,PROPN,Cristiani,NOUN
dev-s2,12,",",",",PUNCT,",",PUNCT
dev-s2,13,et,et,CCONJ,et,CCONJ
dev-s2,14,Iohannes,Johannes,PROPN,Iohannes,NOUN
dev-s2,15,",",",",PUNCT,",",PUNCT
dev-s2,16,filio,filius,NOUN,filius,NOUN
dev-s2,17,quondam,quondam,ADJ,quondam,ADV
dev-s2,18,Vualpi,Vualpus,PROPN,Vualpi,VERB
dev-s2,19,",",",",PUNCT,",",PUNCT
dev-s2,20,quia,quia,SCONJ,quia,CS
dev-s2,21,tu,tu,PRON,tu,PRON
dev-s2,22,Gherardus,Gherardus,PROPN,Gherardus,NOUN
dev-s2,23,",",",",PUNCT,",",PUNCT
dev-s2,24,gratia,gratia,NOUN,gratia,NOUN
dev-s2,25,Dei,Deus,PROPN,Deus,NOUN
dev-s2,26,huius,hic,DET,hic,DIMOS
dev-s2,27,sancte,sanctus,ADJ,sanctus,ADJ
dev-s2,28,Lucane,lucanus,ADJ,Lucane,NOUN
dev-s2,29,ecclesie,ecclesia,NOUN,ecclesie,ADJ
dev-s2,30,humilis,humilis,ADJ,humilis,ADJ
