sample_id,word_id,word,lemma_gold,pos_gold,lemma_pred,pos_pred
dev-s2,15,",",",",PUNCT,",",PUNCT
dev-s2,65,",",",",PUNCT,",",PUNCT
dev-s3,39,et,et,CCONJ,et,CCONJ
dev-s3,72,",",",",PUNCT,",",PUNCT
dev-s4,23,per,per,ADP,per,ADP
dev-s20,38,non,non,PART,non,ADV
dev-s47,15,",",",",PUNCT,",",PUNCT
dev-s50,19,",",",",PUNCT,",",PUNCT
dev-s51,45,",",",",PUNCT,",",PUNCT
dev-s51,51,vobis,uos,PRON,vos,PRON
dev-s51,89,in,in,ADP,in,ADP
dev-s51,92,in,in,ADP,in,ADP
dev-s66,12,",",",",PUNCT,",",PUNCT
dev-s70,6,per,per,ADP,per,ADP
dev-s88,14,et,et,CCONJ,et,CCONJ
dev-s116,12,",",",",PUNCT,",",PUNCT
dev-s116,55,",",",",PUNCT,",",PUNCT
dev-s118,24,in,in,ADP,in,ADP
dev-s119,15,ad,ad,ADP,ad,ADP
dev-s131,16,ad,ad,ADP,ad,ADP
dev-s144,30,",",",",PUNCT,",",PUNCT
dev-s144,80,",",",",PUNCT,",",PUNCT
dev-s146,57,et,et,CCONJ,et,CCONJ
dev-s146,67,",",",",PUNCT,",",PUNCT
dev-s146,81,",",",",PUNCT,",",PUNCT
dev-s153,15,ad,ad,ADP,ad,ADP
dev-s155,17,et,et,CCONJ,et,CCONJ
dev-s155,41,",",",",PUNCT,",",PUNCT
dev-s164,36,",",",",PUNCT,",",PUNCT
dev-s164,55,",",",",PUNCT,",",PUNCT
dev-s165,91,",",",",PUNCT,",",PUNCT
dev-s165,111,",",",",PUNCT,",",PUNCT
dev-s169,11,ad,ad,ADP,ad,ADP
dev-s183,14,et,et,CCONJ,et,CCONJ
dev-s183,49,",",",",PUNCT,",",PUNCT
dev-s186,5,et,et,CCONJ,et,CCONJ
dev-s198,17,",",",",PUNCT,",",PUNCT
dev-s199,33,ad,ad,ADP,ad,ADP
dev-s200,39,non,non,PART,non,ADV
dev-s211,22,",",",",PUNCT,",",PUNCT
dev-s213,28,",",",",PUNCT,",",PUNCT
dev-s214,6,in,in,ADP,in,ADP
dev-s214,54,",",",",PUNCT,",",PUNCT
dev-s215,14,ad,ad,ADP,ad,ADP
dev-s229,48,",",",",PUNCT,",",PUNCT
dev-s231,15,ad,ad,ADP,ad,ADP
dev-s231,42,et,et,CCONJ,et,CCONJ
dev-s243,74,",",",",PUNCT,",",PUNCT
dev-s245,15,ad,ad,ADP,ad,ADP
dev-s248,5,+,+,PUNCT,+,SYM
dev-s248,6,+,+,PUNCT,+,SYM
dev-s255,23,",",",",PUNCT,",",PUNCT
dev-s257,33,",",",",PUNCT,",",PUNCT
dev-s273,14,ad,ad,ADP,ad,ADP
dev-s280,8,",",",",PUNCT,",",PUNCT
dev-s283,23,",",",",PUNCT,",",PUNCT
dev-s284,43,",",",",PUNCT,",",PUNCT
dev-s285,15,ad,ad,ADP,ad,ADP
dev-s298,72,",",",",PUNCT,",",PUNCT
dev-s299,18,in,in,ADP,in,ADP
dev-s300,52,et,et,CCONJ,et,CCONJ
dev-s301,90,in,in,ADP,in,ADP
dev-s322,44,et,et,CCONJ,et,CCONJ
dev-s322,61,",",",",PUNCT,",",PUNCT
dev-s323,54,",",",",PUNCT,",",PUNCT
dev-s324,44,illum,ille,DET,ille,PRON
dev-s337,23,",",",",PUNCT,",",PUNCT
dev-s339,10,uno,unus,DET,unus,NUM
